time_real,4.06.1+trunk+bench,
almabench,1632987558.43,57158228.592
bdd,190944776.952,1052122.21966
cpdf-merge,4115332677.,6106549.22238
cpdf-reformat,6533620966.5,748460.507071
cpdf-squeeze,9393398881.,86365656.1096
cpdf-transform,2138190896.,18053191.5695
frama-c-deflate,26366364107.7,84552237.5828
frama-c-idct,178462757.,nan
jsontrip-sample,14521619.5471,360917.083475
kb,429534257.5,3285562.41841
kb-no-exc,294108768.429,3401076.66698
lexifi-g2pp,9668718097.5,6659399.43625
menhir-fancy,10611265.6207,1065608.62431
menhir-sql,3159676841.67,14342410.7125
menhir-standard,7763330.20543,66664.9698089
minilight,12474281496.3,34001373.0782
numal-durand-kerner-aberth,76937885.9038,249366.016743
numal-fft,2206972243.25,17916073.7963
numal-k-means,77413760.8846,893923.852694
numal-levinson-durbin,1407300616.33,455258.071399
numal-lu-decomposition,777857674.667,17672944.5128
numal-naive-multilayer,2369863280.5,2172504.26792
numal-qr-decomposition,1174010777.25,1149667.20402
numal-rnd_access,4104121677.71,146200103.501
numal-simple_access,2971972366.33,8396260.64828
patdiff,220437048.,6455753.94188
sauvola-contrast,1774862.,nan
sequence,845043143.2,926681.729258
sequence-cps,888232892.,26117721.1512
setrip,893253052.4,5904808.33302
setrip-smallbuf,893130230.4,11530605.0771

