time_real,4.06.1+multicore+bench,
almabench,1671333617.67,2950718.07094
bdd,204849923.,747493.775663
cpdf-merge,5981159053.,nan
cpdf-reformat,7847984638.,nan
cpdf-squeeze,12060678329.7,21825911.2205
cpdf-transform,2164630404.33,9180663.23816
jsontrip-sample,17750962.5133,324253.935553
kb,467033771.333,5658288.36287
kb-no-exc,317141063.769,4358493.01339
lexifi-g2pp,9822635726.67,16145489.6603
menhir-fancy,15339720.023,1199140.82003
menhir-sql,3424447696.,nan
menhir-standard,11408454.6439,100163.297819
minilight,14526171698.3,18510793.567
numal-durand-kerner-aberth,81919859.4898,230662.661458
numal-fft,2364052274.25,23194833.8009
numal-k-means,89630005.6,872476.149602
numal-levinson-durbin,1481090537.,2085064.17
numal-lu-decomposition,854379667.,3349657.2766
numal-naive-multilayer,2544037098.,16978699.8876
numal-qr-decomposition,1146101650.,3240323.69865
numal-rnd_access,5350245310.5,2184902.67822
numal-simple_access,2681010429.,39389305.7557
sequence,895552511.4,771907.39292
sequence-cps,1140397916.5,6056520.05909
setrip,972156529.8,10065645.049
setrip-smallbuf,968846719.,13242118.8254

