time_real,4.06.1+multicore+scheduling+bench,
almabench,1672243948.33,3172747.0919
bdd,210155474.95,740308.523803
cpdf-merge,31109121334.,nan
cpdf-reformat,15060160161.,nan
cpdf-squeeze,30144008010.,28109508.3923
cpdf-transform,2868091839.67,5997223.13284
jsontrip-sample,17684637.5419,299530.913394
kb,498449432.444,1609308.66168
kb-no-exc,333635421.,nan
lexifi-g2pp,9817083113.5,3137219.94898
menhir-fancy,15454344.2471,1567583.23939
menhir-sql,7710744242.,nan
menhir-standard,11406515.3704,64944.600211
minilight,14633294646.5,14997370.669
numal-durand-kerner-aberth,81957618.6531,201644.728111
numal-fft,2575391245.5,32459270.8433
numal-k-means,90095665.3778,942974.562189
numal-levinson-durbin,1486337471.,6506657.11902
numal-lu-decomposition,855948957.6,2508711.6543
numal-naive-multilayer,2502021317.5,2383234.81663
numal-qr-decomposition,1145198387.5,571468.147635
numal-rnd_access,5369097842.,8461312.94703
numal-simple_access,117882627700.,180586193.909
sequence,893881340.2,311905.143461
sequence-cps,1136156042.,9707074.5435
setrip,981985113.,10918357.3984
setrip-smallbuf,977037585.2,10750312.4085

